drug,protein
DB01110,4843
DB01234,4843
DB08814,4843
DB00661,8911
DB00909,8911
DB04841,8911
DB00201,134
DB00277,134
DB00640,134
DB00651,134
DB00996,134
DB01223,134
DB01412,134
DB00619,25
DB01254,25
DB04868,25
DB00244,5742
DB00316,5742
DB00328,5742
DB00350,5742
DB00461,5742
DB00465,5742
DB00469,5742
DB00500,5742
DB00554,5742
DB00586,5742
DB00605,5742
DB00712,5742
DB00749,5742
DB00784,5742
DB00788,5742
DB00795,5742
DB00812,5742
DB00814,5742
DB00821,5742
DB00870,5742
DB00945,5742
DB00963,5742
DB00991,5742
DB01009,5742
DB01014,5742
DB01050,5742
DB01283,5742
DB01399,5742
DB01435,5742
DB02266,5742
DB02709,5742
DB04552,5742
DB06725,5742
DB06802,5742
DB08814,5742
DB00246,1812
DB00268,1812
DB00334,1812
DB00363,1812
DB00408,1812
DB00413,1812
DB00477,1812
DB00502,1812
DB00543,1812
DB00623,1812
DB00679,1812
DB00734,1812
DB00800,1812
DB00988,1812
DB01186,1812
DB01224,1812
DB01235,1812
DB01238,1812
DB01239,1812
DB01099,7298
DB00398,2324
DB01268,2324
DB00384,6338
DB00594,6338
DB01229,81027
DB01248,81027
DB01394,81027
DB03010,81027
DB06772,81027
DB01268,2321
DB00398,5894
DB00165,8566
DB00559,1910
DB06268,1910
DB00246,1131
DB00321,1131
DB00332,1131
DB00334,1131
DB00342,1131
DB00363,1131
DB00387,1131
DB00424,1131
DB00434,1131
DB00458,1131
DB00462,1131
DB00496,1131
DB00517,1131
DB00572,1131
DB00622,1131
DB00715,1131
DB00747,1131
DB00809,1131
DB00934,1131
DB01036,1131
DB01062,1131
DB01085,1131
DB01224,1131
DB01238,1131
DB01239,1131
DB01337,1131
DB01409,1131
DB01591,1131
DB04843,1131
DB06702,1131
DB00170,2147
DB00278,2147
DB04786,2147
DB04898,2147
DB06695,2147
DB00145,2743
DB01108,3284
DB00126,5033
DB01275,5033
DB06155,1268
DB00177,185
DB00275,185
DB00796,185
DB00876,185
DB00966,185
DB01029,185
DB00297,5731
DB00770,5731
DB00905,5731
DB00917,5731
DB00795,38
DB00636,5465
DB01039,5465
DB01241,5465
DB01393,5465
DB00121,64087
DB00755,190
DB01234,190
DB00993,3251
DB01033,3251
DB00210,6257
DB00307,6257
DB00459,6257
DB00755,6257
DB00799,6257
DB01941,6257
DB00904,3360
DB01079,3360
DB00126,5351
DB00204,3757
DB00308,3757
DB00342,3757
DB00457,3757
DB00489,3757
DB00590,3757
DB00661,3757
DB00679,3757
DB00908,3757
DB01110,3757
DB01118,3757
DB01136,3757
DB01162,3757
DB01182,3757
DB01218,3757
DB00762,116447
DB01030,116447
DB00245,1128
DB00246,1128
DB00321,1128
DB00332,1128
DB00334,1128
DB00363,1128
DB00366,1128
DB00387,1128
DB00424,1128
DB00434,1128
DB00458,1128
DB00462,1128
DB00496,1128
DB00517,1128
DB00543,1128
DB00572,1128
DB00622,1128
DB00715,1128
DB00747,1128
DB00804,1128
DB00809,1128
DB00810,1128
DB00934,1128
DB01036,1128
DB01062,1128
DB01085,1128
DB01148,1128
DB01175,1128
DB01224,1128
DB01238,1128
DB01239,1128
DB01409,1128
DB01591,1128
DB04365,1128
DB04843,1128
DB06702,1128
DB03754,262
DB00145,64902
DB00973,6646
DB01094,6646
DB00208,64805
DB06209,64805
DB08816,64805
DB00501,3274
DB00585,3274
DB00751,3274
DB00863,3274
DB00927,3274
DB00987,5423
DB00173,353
DB00812,5740
DB01016,19
DB01599,19
DB00255,2099
DB00367,2099
DB00396,2099
DB00481,2099
DB00539,2099
DB00603,2099
DB00655,2099
DB00675,2099
DB00783,2099
DB00823,2099
DB00882,2099
DB00890,2099
DB00947,2099
DB00977,2099
DB01065,2099
DB01108,2099
DB01183,2099
DB01196,2099
DB01357,2099
DB01645,2099
DB04573,2099
DB07933,2099
DB01025,3562
DB00945,1645
DB07931,1645
DB00358,3039
DB08486,3039
DB00367,367
DB00421,367
DB00499,367
DB00621,367
DB00624,367
DB00665,367
DB00984,367
DB01128,367
DB01395,367
DB01420,367
DB02266,367
DB02932,367
DB04839,367
DB06710,367
DB07423,367
DB00536,217
DB00822,217
DB02115,217
DB00165,501
DB00126,1621
DB00822,1621
DB00988,1621
DB00252,6323
DB00273,6323
DB00909,6323
DB01438,6323
DB00361,203068
DB00541,203068
DB00570,203068
DB01179,203068
DB01394,203068
DB03010,203068
DB00210,5916
DB00459,5916
DB00755,5916
DB00799,5916
DB00246,1816
DB00268,1816
DB00334,1816
DB00413,1816
DB00800,1816
DB00988,1816
DB01186,1816
DB01224,1816
DB01235,1816
DB01238,1816
DB00363,59340
DB00398,2322
DB01268,2322
DB00308,3775
DB00908,3775
DB00724,51284
DB01611,51284
DB00514,10280
DB00121,3141
DB01017,7422
DB01120,7422
DB01136,7422
DB03754,7422
DB00872,552
DB00290,3980
DB00187,153
DB00195,153
DB00264,153
DB00368,153
DB00373,153
DB00489,153
DB00571,153
DB00612,153
DB00668,153
DB00841,153
DB01001,153
DB01064,153
DB01118,153
DB01136,153
DB01193,153
DB04861,153
DB01136,4718
DB00281,6336
DB00296,6336
DB00297,6336
DB00527,6336
DB00645,6336
DB00721,6336
DB00807,6336
DB00892,6336
DB00961,6336
DB01086,6336
DB01173,6336
DB00583,1376
DB01074,1376
DB00203,8654
DB00277,8654
DB00820,8654
DB00862,8654
DB00975,8654
DB00145,2937
DB00128,443
DB00384,6337
DB00594,6337
DB01708,3292
DB00252,6331
DB00281,6331
DB00379,6331
DB00527,6331
DB00564,6331
DB00661,6331
DB00740,6331
DB00750,6331
DB00776,6331
DB00908,6331
DB00909,6331
DB01182,6331
DB01195,6331
DB00290,3978
DB00398,5159
DB00619,5159
DB01254,5159
DB01268,5159
DB00210,5915
DB00459,5915
DB00799,5915
DB02877,5915
DB04942,5915
DB00222,6833
DB00672,6833
DB00731,6833
DB00912,6833
DB01016,6833
DB01067,6833
DB01120,6833
DB01124,6833
DB01251,6833
DB00302,5340
DB00513,5340
DB00197,5468
DB00244,5468
DB00328,5468
DB00412,5468
DB00731,5468
DB00795,5468
DB00912,5468
DB00966,5468
DB01014,5468
DB01067,5468
DB01132,5468
DB01393,5468
DB00170,2159
DB06228,2159
DB01373,27032
DB00128,440
DB00170,4835
DB01065,4835
DB01087,4835
DB02709,4835
DB00178,1636
DB00542,1636
DB00584,1636
DB00691,1636
DB00790,1636
DB00881,1636
DB01197,1636
DB01340,1636
DB01213,124
DB01094,4547
DB00200,6947
DB00197,5054
DB00277,136
DB00640,136
DB00648,2230
DB01229,596
DB01248,596
DB01367,596
DB00246,1133
DB00321,1133
DB00334,1133
DB00363,1133
DB00458,1133
DB00496,1133
DB00572,1133
DB00622,1133
DB00715,1133
DB00747,1133
DB00934,1133
DB01036,1133
DB01224,1133
DB01238,1133
DB01239,1133
DB01591,1133
DB06702,1133
DB00179,240
DB00233,240
DB00244,240
DB00471,240
DB00586,240
DB00744,240
DB00795,240
DB01014,240
DB01017,240
DB01097,240
DB00242,4860
DB00900,4860
DB01667,4860
DB02857,4860
DB00600,7299
DB00780,18
DB00331,5564
DB03796,23541
DB00811,22978
DB00233,5743
DB00244,5743
DB00316,5743
DB00328,5743
DB00461,5743
DB00465,5743
DB00469,5743
DB00480,5743
DB00482,5743
DB00500,5743
DB00533,5743
DB00554,5743
DB00580,5743
DB00586,5743
DB00605,5743
DB00712,5743
DB00749,5743
DB00784,5743
DB00788,5743
DB00795,5743
DB00812,5743
DB00814,5743
DB00821,5743
DB00870,5743
DB00945,5743
DB00963,5743
DB00991,5743
DB01009,5743
DB01014,5743
DB01041,5743
DB01050,5743
DB01283,5743
DB01399,5743
DB01435,5743
DB02266,5743
DB02709,5743
DB04552,5743
DB04743,5743
DB06725,5743
DB06802,5743
DB01110,4846
DB08597,90
DB00232,759
DB00381,759
DB00423,759
DB00436,759
DB00703,759
DB00869,759
DB00880,759
DB00909,759
DB00999,759
DB01021,759
DB01144,759
DB01194,759
DB00165,57026
DB00811,55193
DB00400,203068
DB00246,150
DB00268,150
DB00321,150
DB00334,150
DB00363,150
DB00368,150
DB00370,150
DB00413,150
DB00484,150
DB00543,150
DB00575,150
DB00633,150
DB00656,150
DB00668,150
DB00692,150
DB00697,150
DB00734,150
DB00751,150
DB00797,150
DB00800,150
DB00925,150
DB00935,150
DB00968,150
DB01186,150
DB01224,150
DB01238,150
DB01392,150
DB06148,150
DB06694,150
DB06711,150
DB00216,3350
DB00246,3350
DB00268,3350
DB00315,3350
DB00321,3350
DB00334,3350
DB00363,3350
DB00413,3350
DB00477,3350
DB00490,3350
DB00571,3350
DB00656,3350
DB00669,3350
DB00734,3350
DB00904,3350
DB00952,3350
DB01186,3350
DB01224,3350
DB01238,3350
DB01392,3350
DB01616,3350
DB06684,3350
DB00145,6472
DB00872,554
DB00459,5947
DB00308,782
DB00393,782
DB00661,782
DB00246,3359
DB00334,3359
DB00363,3359
DB00370,3359
DB00721,3359
DB00728,3359
DB00889,3359
DB00904,3359
DB01043,3359
DB01224,3359
DB01238,3359
DB00279,7068
DB00451,7068
DB03604,7068
DB00145,189
DB00115,166785
DB00200,166785
DB00232,760
DB00273,760
DB00436,760
DB00695,760
DB00703,760
DB00869,760
DB00880,760
DB00909,760
DB00999,760
DB01021,760
DB01144,760
DB01194,760
DB00165,875
DB00293,7298
DB00322,7298
DB00432,7298
DB00440,7298
DB00441,7298
DB00544,7298
DB00642,7298
DB01101,7298
DB00242,6240
DB00441,6240
DB00631,6240
DB01005,6240
DB01073,6240
DB00980,4544
DB01065,4544
DB06594,4544
DB02329,3290
DB00205,1719
DB00440,1719
DB00563,1719
DB00642,1719
DB01157,1719
DB00145,6470
DB00609,3623
DB00951,3623
DB00170,2155
DB00200,81693
DB00246,152
DB00268,152
DB00334,152
DB00363,152
DB00368,152
DB00413,152
DB00484,152
DB00575,152
DB00697,152
DB00734,152
DB00800,152
DB00925,152
DB01186,152
DB01224,152
DB01238,152
DB01392,152
DB06694,152
DB00273,2897
DB00145,2628
DB00594,28988
DB03608,28988
DB00586,41
DB00594,41
DB00640,140
DB01223,140
DB00230,773
DB00661,773
DB00836,773
DB01244,773
DB00170,2158
DB01173,2902
DB00770,5732
DB00917,5732
DB00398,3791
DB01268,3791
DB00140,55312
DB00145,27232
DB00583,54677
DB00091,819
DB00170,5624
DB00402,2555
DB00794,2555
DB01205,2555
DB01097,1723
DB01117,1723
DB02262,1723
DB00128,2806
DB00673,6869
DB01221,6869
DB06717,6869
DB04786,2492
DB00246,1815
DB00268,1815
DB00334,1815
DB00363,1815
DB00413,1815
DB00734,1815
DB00988,1815
DB01186,1815
DB01224,1815
DB01235,1815
DB01238,1815
DB00216,3357
DB00268,3357
DB00413,3357
DB01079,3357
DB01186,3357
DB01239,3357
DB01242,3357
DB01173,2906
DB01213,125
DB00170,2677
DB00246,1132
DB00321,1132
DB00334,1132
DB00363,1132
DB00387,1132
DB00424,1132
DB00458,1132
DB00496,1132
DB00572,1132
DB00622,1132
DB00715,1132
DB00747,1132
DB00809,1132
DB00934,1132
DB01036,1132
DB01224,1132
DB01238,1132
DB01239,1132
DB01591,1132
DB06702,1132
DB00583,1374
DB01074,1374
DB00145,211
DB00210,6256
DB00307,6256
DB00459,6256
DB00749,6256
DB00257,3783
DB00468,3783
DB01110,3783
DB00502,2904
DB00949,2904
DB01043,2904
DB00527,801
DB00622,801
DB00623,801
DB00831,801
DB00836,801
DB00925,801
DB01023,801
DB01065,801
DB01115,801
DB01244,801
DB01373,801
DB04841,801
DB00321,4985
DB00704,4985
DB00836,4985
DB01183,4985
DB00741,301
DB01234,301
DB02701,3939
DB00382,43
DB00483,43
DB00545,43
DB00674,43
DB00989,43
DB01245,43
DB08167,43
DB01169,207
DB00218,23113
DB00467,23113
DB00487,23113
DB00537,23113
DB00978,23113
DB01059,23113
DB01137,23113
DB01165,23113
DB01208,23113
DB04576,23113
DB00270,775
DB00308,775
DB00381,775
DB00393,775
DB00401,775
DB00622,775
DB00661,775
DB01023,775
DB01054,775
DB01115,775
DB01373,775
DB06712,775
DB01254,27
DB00235,5139
DB00261,5139
DB00277,5139
DB00922,5139
DB01166,5139
DB01223,5139
DB00245,3269
DB00246,3269
DB00283,3269
DB00321,3269
DB00334,3269
DB00341,3269
DB00342,3269
DB00363,3269
DB00366,3269
DB00370,3269
DB00434,3269
DB00455,3269
DB00458,3269
DB00477,3269
DB00557,3269
DB00656,3269
DB00719,3269
DB00734,3269
DB00737,3269
DB00751,3269
DB00768,3269
DB00792,3269
DB00797,3269
DB00920,3269
DB00934,3269
DB00950,3269
DB00967,3269
DB00972,3269
DB01075,3269
DB01114,3269
DB01173,3269
DB01175,3269
DB01176,3269
DB01224,3269
DB01238,3269
DB01239,3269
DB01620,3269
DB04841,3269
DB04890,3269
DB06148,3269
DB06698,3269
DB08799,3269
DB08800,3269
DB01017,834
DB00121,56922
DB00246,3356
DB00268,3356
DB00321,3356
DB00334,3356
DB00363,3356
DB00370,3356
DB00408,3356
DB00413,3356
DB00434,3356
DB00458,3356
DB00472,3356
DB00477,3356
DB00502,3356
DB00656,3356
DB00679,3356
DB00715,3356
DB00734,3356
DB00751,3356
DB00924,3356
DB01079,3356
DB01186,3356
DB01224,3356
DB01238,3356
DB01239,3356
DB01242,3356
DB01392,3356
DB04599,3356
DB06148,3356
DB06288,3356
DB00104,6751
DB00398,3815
DB00619,3815
DB01254,3815
DB01268,3815
DB04868,3815
DB00145,2905
DB00200,326625
DB00811,5167
DB01143,5167
DB00216,3355
DB00315,3355
DB00669,3355
DB00952,3355
DB00953,3355
DB00188,5707
DB01213,126
DB01016,10060
DB00188,5708
DB00402,2558
DB00794,2558
DB01205,2558
DB00216,3354
DB00246,3354
DB00334,3354
DB00363,3354
DB01224,3354
DB01238,3354
DB00794,2557
DB00128,95
DB00593,8913
DB00661,8913
DB00909,8913
DB04841,8913
DB00201,5142
DB00277,5142
DB00651,5142
DB00920,5142
DB01113,5142
DB01412,5142
DB01954,5142
DB03849,5142
DB04149,5142
DB00808,3753
DB00121,5095
DB00384,6339
DB00594,6339
DB00583,1384
DB00384,6340
DB00594,6340
DB00246,148
DB00321,148
DB00334,148
DB00346,148
DB00363,148
DB00368,148
DB00388,148
DB00450,148
DB00457,148
DB00458,148
DB00477,148
DB00543,148
DB00590,148
DB00622,148
DB00656,148
DB00668,148
DB00679,148
DB00692,148
DB00706,148
DB00734,148
DB00751,148
DB00797,148
DB00831,148
DB00925,148
DB00934,148
DB00935,148
DB01136,148
DB01162,148
DB01175,148
DB01186,148
DB01224,148
DB01238,148
DB06694,148
DB06711,148
DB00389,7173
DB00550,7173
DB00763,7173
DB01259,2064
DB00755,8854
DB00980,4543
DB01065,4543
DB06594,4543
DB00227,3683
DB00145,23464
DB00559,1909
DB06268,1909
DB00402,2556
DB00794,2556
DB01205,2556
DB00627,23475
DB00128,444
DB00128,2805
DB00445,1105
DB00246,3358
DB00268,3358
DB00334,3358
DB00363,3358
DB00370,3358
DB00408,3358
DB00413,3358
DB00434,3358
DB00656,3358
DB00734,3358
DB01079,3358
DB01186,3358
DB01224,3358
DB01238,3358
DB01239,3358
DB01242,3358
DB01392,3358
DB06148,3358
DB06594,3358
DB00145,116444
DB01173,116444
DB00232,762
DB00273,762
DB00436,762
DB00703,762
DB00869,762
DB00880,762
DB00909,762
DB00999,762
DB01021,762
DB01144,762
DB01194,762
DB00121,5096
DB00242,5422
DB00631,5422
DB01073,5422
DB01280,5422
DB00170,8858
DB00356,3778
DB00436,3778
DB00999,3778
DB01003,3778
DB01110,3778
DB00755,216
DB00351,5241
DB00367,5241
DB00378,5241
DB00396,5241
DB00588,5241
DB00603,5241
DB00717,5241
DB00823,5241
DB00834,5241
DB01395,5241
DB00246,1129
DB00321,1129
DB00332,1129
DB00334,1129
DB00363,1129
DB00387,1129
DB00424,1129
DB00434,1129
DB00458,1129
DB00462,1129
DB00483,1129
DB00496,1129
DB00517,1129
DB00572,1129
DB00622,1129
DB00715,1129
DB00728,1129
DB00747,1129
DB00804,1129
DB00809,1129
DB00934,1129
DB01019,1129
DB01036,1129
DB01062,1129
DB01085,1129
DB01148,1129
DB01224,1129
DB01238,1129
DB01239,1129
DB01337,1129
DB01409,1129
DB01591,1129
DB06702,1129
DB00536,2593
DB00246,151
DB00268,151
DB00292,151
DB00334,151
DB00363,151
DB00368,151
DB00413,151
DB00484,151
DB00575,151
DB00668,151
DB00697,151
DB00734,151
DB00800,151
DB00925,151
DB01186,151
DB01224,151
DB01238,151
DB01392,151
DB06694,151
DB00227,3156
DB00641,3156
DB01095,3156
DB06693,3156
DB00246,147
DB00334,147
DB00346,147
DB00363,147
DB00368,147
DB00388,147
DB00457,147
DB00477,147
DB00590,147
DB00622,147
DB00668,147
DB00679,147
DB00706,147
DB00734,147
DB01162,147
DB01186,147
DB01224,147
DB01238,147
DB06694,147
DB00246,1814
DB00268,1814
DB00334,1814
DB00363,1814
DB00391,1814
DB00413,1814
DB00502,1814
DB00734,1814
DB00988,1814
DB01184,1814
DB01186,1814
DB01224,1814
DB01235,1814
DB01238,1814
DB01239,1814
DB01392,1814
DB06288,1814
DB00905,8644
DB01698,8644
DB02266,8644
DB00140,645
DB00287,5737
DB00905,5737
DB00145,2731
DB01586,1646
DB00121,31
DB00651,27115
DB00920,27115
DB08486,3043
DB00975,10846
DB01113,10846
DB08814,10846
DB00321,4986
DB00370,4986
DB00704,4986
DB00836,4986
DB01183,4986
DB00398,673
DB06999,673
DB00441,51727
DB00514,116443
DB00721,116443
DB00915,116443
DB00949,116443
DB01043,116443
DB01173,116443
DB01221,116443
DB01197,4313
DB00222,3758
DB00350,3758
DB01016,3758
DB01124,3758
DB00262,2936
DB00216,3363
DB00246,3363
DB00334,3363
DB00363,3363
DB00751,3363
DB01224,3363
DB01238,3363
DB06288,3363
DB00588,5321
DB01103,5321
DB04552,5321
DB00216,3352
DB00246,3352
DB00268,3352
DB00315,3352
DB00334,3352
DB00363,3352
DB00413,3352
DB00669,3352
DB00734,3352
DB00918,3352
DB00952,3352
DB00953,3352
DB01186,3352
DB01224,3352
DB01238,3352
DB01392,3352
DB00210,5914
DB00459,5914
DB00799,5914
DB00982,5914
DB04942,5914
DB00363,50632
DB00831,50632
DB00780,2875
DB00393,4306
DB00396,4306
DB00421,4306
DB00588,4306
DB00700,4306
DB01023,4306
DB01395,4306
DB00128,445
DB00808,3784
DB01244,3784
DB00914,5562
DB00594,40
DB00308,786
DB00343,786
DB01054,786
DB01083,5406
DB00279,7067
DB00451,7067
DB01025,2246
DB00270,781
DB00308,781
DB00381,781
DB00401,781
DB00622,781
DB00996,781
DB01023,781
DB01054,781
DB01115,781
DB04838,781
DB06712,781
DB00195,154
DB00264,154
DB00368,154
DB00373,154
DB00489,154
DB00571,154
DB00612,154
DB00668,154
DB00841,154
DB00867,154
DB00925,154
DB00983,154
DB01001,154
DB01064,154
DB01136,154
DB01193,154
DB01366,154
DB04861,154
DB05039,154
DB00337,2280
DB00864,2280
DB00877,2280
DB08597,2280
DB00755,9052
DB00121,5091
DB00308,90134
DB00457,90134
DB00590,90134
DB01110,90134
DB01162,90134
DB00293,2356
DB00121,32
DB00173,32
DB01016,8647
DB00608,7124
DB01041,7124
DB01411,7124
DB00651,5150
DB00920,5150
DB00210,6258
DB00307,6258
DB00459,6258
DB00755,6258
DB00222,3767
DB00308,3767
DB00661,3767
DB00922,3767
DB01016,3767
DB00170,79001
DB00498,79001
DB00682,79001
DB00321,146
DB00346,146
DB00368,146
DB00388,146
DB00457,146
DB00458,146
DB00590,146
DB00622,146
DB00668,146
DB00706,146
DB01162,146
DB01186,146
DB01224,146
DB06694,146
DB00851,23649
DB00688,3615
DB01024,3615
DB00170,632
DB00128,1615
DB00390,476
DB01021,476
DB01092,476
DB01244,476
DB00115,4548
DB00200,4548
DB00402,706
DB01178,706
DB00184,1135
DB00483,1135
DB00514,1135
DB00565,1135
DB00674,1135
DB00721,1135
DB00728,1135
DB00732,1135
DB00810,1135
DB01245,1135
DB01337,1135
DB01339,1135
DB00201,6261
DB04786,6261
DB00218,7153
DB00380,7153
DB00444,7153
DB00445,7153
DB00467,7153
DB00487,7153
DB00537,7153
DB00694,7153
DB00773,7153
DB00978,7153
DB00997,7153
DB01059,7153
DB01137,7153
DB01165,7153
DB01177,7153
DB01179,7153
DB01204,7153
DB01208,7153
DB01645,7153
DB04576,7153
DB00145,2742
DB00605,231
DB01041,2263
DB00368,5053
DB00668,5053
DB00246,1813
DB00268,1813
DB00334,1813
DB00363,1813
DB00391,1813
